Dataset,DNN,CMR,FR(%)
MNIST,MNIST_AlexNet_9938,0,0.13999999999999999
MNIST,MNIST_AlexNet_9938,1,0.13999999999999999
MNIST,MNIST_AlexNet_9938,2,0.04
MNIST,MNIST_AlexNet_9938,3,0.04
MNIST,MNIST_AlexNet_9938,4,0.6799999999999999
MNIST,MNIST_AlexNet_9938,5,0.62
MNIST,MNIST_AlexNet_9938,6,0.86
MNIST,MNIST_AlexNet_9938,01,0.24
MNIST,MNIST_AlexNet_9938,02,0.18
MNIST,MNIST_AlexNet_9938,03,0.05
MNIST,MNIST_AlexNet_9938,04,0.74
MNIST,MNIST_AlexNet_9938,05,0.65
MNIST,MNIST_AlexNet_9938,06,1.18
MNIST,MNIST_AlexNet_9938,10,0.24
MNIST,MNIST_AlexNet_9938,12,0.25
MNIST,MNIST_AlexNet_9938,13,0.18
MNIST,MNIST_AlexNet_9938,14,1.53
MNIST,MNIST_AlexNet_9938,15,0.65
MNIST,MNIST_AlexNet_9938,16,1.03
MNIST,MNIST_AlexNet_9938,20,0.18
MNIST,MNIST_AlexNet_9938,21,0.25
MNIST,MNIST_AlexNet_9938,23,0.05
MNIST,MNIST_AlexNet_9938,24,0.73
MNIST,MNIST_AlexNet_9938,25,0.58
MNIST,MNIST_AlexNet_9938,26,0.9299999999999999
MNIST,MNIST_AlexNet_9938,30,0.06
MNIST,MNIST_AlexNet_9938,31,0.2
MNIST,MNIST_AlexNet_9938,32,0.05
MNIST,MNIST_AlexNet_9938,34,0.4
MNIST,MNIST_AlexNet_9938,35,0.13999999999999999
MNIST,MNIST_AlexNet_9938,36,0.27999999999999997
MNIST,MNIST_AlexNet_9938,40,0.8200000000000001
MNIST,MNIST_AlexNet_9938,41,1.51
MNIST,MNIST_AlexNet_9938,42,0.73
MNIST,MNIST_AlexNet_9938,43,0.38
MNIST,MNIST_AlexNet_9938,45,1.08
MNIST,MNIST_AlexNet_9938,46,1.4000000000000001
MNIST,MNIST_AlexNet_9938,50,0.61
MNIST,MNIST_AlexNet_9938,51,0.65
MNIST,MNIST_AlexNet_9938,52,0.59
MNIST,MNIST_AlexNet_9938,53,0.13
MNIST,MNIST_AlexNet_9938,54,1.08
MNIST,MNIST_AlexNet_9938,56,2.04
MNIST,MNIST_AlexNet_9938,60,1.06
MNIST,MNIST_AlexNet_9938,61,1.04
MNIST,MNIST_AlexNet_9938,62,0.9299999999999999
MNIST,MNIST_AlexNet_9938,63,0.22
MNIST,MNIST_AlexNet_9938,64,1.41
MNIST,MNIST_AlexNet_9938,65,2.02
MNIST,MNIST_AlexNet_9938,012,0.36
MNIST,MNIST_AlexNet_9938,013,0.22
MNIST,MNIST_AlexNet_9938,014,1.55
MNIST,MNIST_AlexNet_9938,015,0.6799999999999999
MNIST,MNIST_AlexNet_9938,016,1.25
MNIST,MNIST_AlexNet_9938,021,0.36
MNIST,MNIST_AlexNet_9938,023,0.08
MNIST,MNIST_AlexNet_9938,024,0.88
MNIST,MNIST_AlexNet_9938,025,0.6799999999999999
MNIST,MNIST_AlexNet_9938,026,1.15
MNIST,MNIST_AlexNet_9938,031,0.22999999999999998
MNIST,MNIST_AlexNet_9938,032,0.09
MNIST,MNIST_AlexNet_9938,034,0.4
MNIST,MNIST_AlexNet_9938,035,0.13999999999999999
MNIST,MNIST_AlexNet_9938,036,0.33999999999999997
MNIST,MNIST_AlexNet_9938,041,1.54
MNIST,MNIST_AlexNet_9938,042,0.88
MNIST,MNIST_AlexNet_9938,043,0.41000000000000003
MNIST,MNIST_AlexNet_9938,045,1.13
MNIST,MNIST_AlexNet_9938,046,1.52
MNIST,MNIST_AlexNet_9938,051,0.6799999999999999
MNIST,MNIST_AlexNet_9938,052,0.67
MNIST,MNIST_AlexNet_9938,053,0.12
MNIST,MNIST_AlexNet_9938,054,1.1400000000000001
MNIST,MNIST_AlexNet_9938,056,2.4
MNIST,MNIST_AlexNet_9938,061,1.23
MNIST,MNIST_AlexNet_9938,062,1.1199999999999999
MNIST,MNIST_AlexNet_9938,063,0.24
MNIST,MNIST_AlexNet_9938,064,1.48
MNIST,MNIST_AlexNet_9938,065,2.77
MNIST,MNIST_AlexNet_9938,102,0.36
MNIST,MNIST_AlexNet_9938,103,0.22
MNIST,MNIST_AlexNet_9938,104,1.54
MNIST,MNIST_AlexNet_9938,105,0.6799999999999999
MNIST,MNIST_AlexNet_9938,106,1.23
MNIST,MNIST_AlexNet_9938,120,0.37
MNIST,MNIST_AlexNet_9938,123,0.22999999999999998
MNIST,MNIST_AlexNet_9938,124,1.9800000000000002
MNIST,MNIST_AlexNet_9938,125,0.7100000000000001
MNIST,MNIST_AlexNet_9938,126,1.03
MNIST,MNIST_AlexNet_9938,130,0.22
MNIST,MNIST_AlexNet_9938,132,0.21
MNIST,MNIST_AlexNet_9938,134,2.3
MNIST,MNIST_AlexNet_9938,135,0.38999999999999996
MNIST,MNIST_AlexNet_9938,136,0.52
MNIST,MNIST_AlexNet_9938,140,1.6500000000000001
MNIST,MNIST_AlexNet_9938,142,1.9800000000000002
MNIST,MNIST_AlexNet_9938,143,2.22
MNIST,MNIST_AlexNet_9938,145,2.22
MNIST,MNIST_AlexNet_9938,146,2.44
MNIST,MNIST_AlexNet_9938,150,0.66
MNIST,MNIST_AlexNet_9938,152,0.7000000000000001
MNIST,MNIST_AlexNet_9938,153,0.36
MNIST,MNIST_AlexNet_9938,154,2.15
MNIST,MNIST_AlexNet_9938,156,2.16
MNIST,MNIST_AlexNet_9938,160,1.11
MNIST,MNIST_AlexNet_9938,162,1.04
MNIST,MNIST_AlexNet_9938,163,0.43
MNIST,MNIST_AlexNet_9938,164,2.41
MNIST,MNIST_AlexNet_9938,165,2.23
MNIST,MNIST_AlexNet_9938,201,0.37
MNIST,MNIST_AlexNet_9938,203,0.09
MNIST,MNIST_AlexNet_9938,204,0.89
MNIST,MNIST_AlexNet_9938,205,0.69
MNIST,MNIST_AlexNet_9938,206,1.21
MNIST,MNIST_AlexNet_9938,210,0.37
MNIST,MNIST_AlexNet_9938,213,0.2
MNIST,MNIST_AlexNet_9938,214,1.95
MNIST,MNIST_AlexNet_9938,215,0.72
MNIST,MNIST_AlexNet_9938,216,1.05
MNIST,MNIST_AlexNet_9938,230,0.1
MNIST,MNIST_AlexNet_9938,231,0.22999999999999998
MNIST,MNIST_AlexNet_9938,234,0.47000000000000003
MNIST,MNIST_AlexNet_9938,235,0.15
MNIST,MNIST_AlexNet_9938,236,0.31
MNIST,MNIST_AlexNet_9938,240,0.89
MNIST,MNIST_AlexNet_9938,241,1.96
MNIST,MNIST_AlexNet_9938,243,0.44
MNIST,MNIST_AlexNet_9938,245,1.11
MNIST,MNIST_AlexNet_9938,246,1.44
MNIST,MNIST_AlexNet_9938,250,0.63
MNIST,MNIST_AlexNet_9938,251,0.73
MNIST,MNIST_AlexNet_9938,253,0.12
MNIST,MNIST_AlexNet_9938,254,1.2
MNIST,MNIST_AlexNet_9938,256,1.9800000000000002
MNIST,MNIST_AlexNet_9938,260,1.1400000000000001
MNIST,MNIST_AlexNet_9938,261,1.04
MNIST,MNIST_AlexNet_9938,263,0.22
MNIST,MNIST_AlexNet_9938,264,1.44
MNIST,MNIST_AlexNet_9938,265,2.0
MNIST,MNIST_AlexNet_9938,301,0.26
